Country,Other names,ISO 3166-1 alpha-3 CODE,Population,Continent,Total Cases,Total Deaths,Tot Cases//1M pop,Tot Deaths/1M pop,Death percentage
USA,United States of America,USA,334400597,Northern America,81839052,1008222,244734,3015,1.231957086
India,India,IND,1403754381,Asia,43029044,521388,30653,371,1.211711792
Brazil,Brazil,BRA,215204501,Latin America and the Caribbean,29999816,660269,139401,3068,2.200910166
France,France,FRA,65526369,Europe,25997852,142506,396754,2175,0.548145285
Germany,Germany,DEU,84252947,Europe,21646375,130563,256921,1550,0.603163347
UK,United Kingdom of Great Britain and Northern Ireland,GBR,68510300,Europe,21216874,165570,309689,2417,0.780369436
Russia,Russian Federation,RUS,146044010,Europe,17896866,369708,122544,2531,2.065769504
Turkey,Turkey,TUR,85927644,Asia,14894731,98157,173340,1142,0.659004852
Italy,Italy,ITA,60306185,Europe,14846514,159784,246186,2650,1.076239176
S. Korea,Republic of Korea,KOR,51346429,Asia,13874216,17235,270208,336,0.124223235
